word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
mind,20,8,10,0.4,0.5,2.4782056707575117,0.7975593811287862
night,87,12,64,0.13793103448275862,0.735632183908046,0.8545536795715557,1.173420698672237
think,145,13,98,0.0896551724137931,0.6758620689655173,0.5554598917215112,1.078080266905118
agree,4,0,3,0.0,0.75,0.0,1.1963390716931792
entertaining,2,1,0,0.5,0.0,3.0977570884468895,0.0
supposed,89,2,76,0.02247191011235955,0.8539325842696629,0.13922503768300626,1.3621238868716348
minutes,228,9,208,0.039473684210526314,0.9122807017543859,0.2445597701405439,1.4551960638139256
website,119,3,105,0.025210084033613446,0.8823529411764706,0.1561894330309356,1.4074577314037404
shows,24,3,18,0.125,0.75,0.7744392721117224,1.1963390716931792
julie,3,1,0,0.3333333333333333,0.0,2.065171392297926,0.0
andrews,2,1,0,0.5,0.0,3.0977570884468895,0.0
though,53,11,34,0.20754716981132076,0.6415094339622641,1.2858614329402183,1.0232837342784427
wish,44,19,17,0.4318181818181818,0.38636363636363635,2.675335667295041,0.6162958854176984
la,31,9,14,0.2903225806451613,0.45161290322580644,1.7986976642594843,0.7203762152130972
february,9,0,2,0.0,0.2222222222222222,0.0,0.3544708360572383
trying,347,13,288,0.037463976945244955,0.829971181556196,0.2321086002870868,1.3239026038333743
since,170,12,146,0.07058823529411765,0.8588235294117647,0.4373304124866197,1.3699255252329738
page,19,1,14,0.05263157894736842,0.7368421052631579,0.3260796935207252,1.1753506669266323
never,312,21,274,0.0673076923076923,0.8782051282051282,0.417005761906312,1.4008414771108169
spotify,1,1,0,1.0,0.0,6.195514176893779,0.0
stat,2,1,1,0.5,0.5,3.0977570884468895,0.7975593811287862
lady,22,10,10,0.45454545454545453,0.45454545454545453,2.81614280767899,0.7250539828443511
marketing,10,2,2,0.2,0.2,1.2391028353787559,0.3190237524515145
let,199,13,160,0.06532663316582915,0.8040201005025126,0.4047320819076338,1.2825075475437768
us,580,74,418,0.12758620689655173,0.7206896551724138,0.790462153603689,1.1495855907304573
gaga,1,0,0,0.0,0.0,0.0,0.0
weeks,56,5,46,0.08928571428571429,0.8214285714285714,0.5531709086512303,1.3102761261401488
ago,60,2,49,0.03333333333333333,0.8166666666666667,0.20651713922979262,1.3026803225103507
adding,18,6,10,0.3333333333333333,0.5555555555555556,2.065171392297926,0.8861770901430959
shown,8,0,5,0.0,0.625,0.0,0.9969492264109827
mary,1,0,0,0.0,0.0,0.0,0.0
martin,1,0,0,0.0,0.0,0.0,0.0
